target,feature,importance
COGS,baseline_prediction,678.0
COGS,days_from_start,522.0
COGS,dayofmonth,330.0
COGS,rolling_30_yoy_growth,330.0
COGS,yoy_lag_365_growth,262.0
COGS,cos_365_25_3,216.0
COGS,cos_7_1,203.0
COGS,days_to_back_to_school,178.0
COGS,cos_30_5_3,177.0
COGS,yoy_lag_364_growth,172.0
COGS,sin_30_5_1,170.0
COGS,days_to_12_12,149.0
COGS,sin_7_2,133.0
COGS,days_to_11_11,131.0
COGS,sin_7_1,129.0
COGS,sin_30_5_3,117.0
COGS,sin_365_25_3,112.0
COGS,sin_30_5_2,102.0
COGS,cos_365_25_2,100.0
COGS,sin_365_25_1,89.0
COGS,cos_365_25_1,80.0
COGS,cos_30_5_2,79.0
COGS,sin_7_3,61.0
COGS,cos_7_3,56.0
COGS,days_to_tet_like,56.0
COGS,days_to_10_10,54.0
COGS,cos_30_5_1,53.0
COGS,sin_365_25_2,51.0
COGS,cos_7_2,48.0
COGS,days_to_womens_day,46.0
COGS,days_to_new_year,44.0
COGS,days_to_christmas_year_end,40.0
COGS,weekofyear,32.0
COGS,days_to_valentine,31.0
COGS,days_to_mid_year_sale,26.0
COGS,dayofweek,18.0
COGS,days_to_9_9,18.0
COGS,month,9.0
COGS,event_payday,5.0
COGS,is_month_start,3.0
COGS,is_weekend,0.0
COGS,is_month_end,0.0
COGS,is_quarter_start,0.0
COGS,is_quarter_end,0.0
COGS,event_new_year,0.0
COGS,event_tet_like,0.0
COGS,event_valentine,0.0
COGS,event_womens_day,0.0
COGS,event_mid_year_sale,0.0
COGS,event_back_to_school,0.0
COGS,event_9_9,0.0
COGS,event_10_10,0.0
COGS,event_11_11,0.0
COGS,event_12_12,0.0
COGS,event_christmas_year_end,0.0
Revenue,baseline_prediction,613.0
Revenue,days_from_start,547.0
Revenue,dayofmonth,370.0
Revenue,rolling_30_yoy_growth,274.0
Revenue,yoy_lag_365_growth,231.0
Revenue,yoy_lag_364_growth,221.0
Revenue,cos_365_25_3,183.0
Revenue,cos_7_1,173.0
Revenue,days_to_back_to_school,169.0
Revenue,sin_30_5_1,153.0
Revenue,sin_30_5_3,152.0
Revenue,days_to_11_11,141.0
Revenue,cos_30_5_3,123.0
Revenue,sin_30_5_2,122.0
Revenue,sin_7_1,111.0
Revenue,sin_365_25_1,109.0
Revenue,sin_7_2,108.0
Revenue,cos_365_25_1,106.0
Revenue,sin_365_25_2,106.0
Revenue,cos_365_25_2,99.0
Revenue,sin_365_25_3,89.0
Revenue,days_to_valentine,89.0
Revenue,days_to_10_10,89.0
Revenue,days_to_12_12,89.0
Revenue,cos_30_5_1,87.0
Revenue,days_to_christmas_year_end,76.0
Revenue,days_to_tet_like,69.0
Revenue,cos_30_5_2,63.0
Revenue,days_to_new_year,61.0
Revenue,cos_7_3,53.0
Revenue,days_to_womens_day,43.0
Revenue,sin_7_3,41.0
Revenue,days_to_9_9,34.0
Revenue,cos_7_2,31.0
Revenue,days_to_mid_year_sale,27.0
Revenue,weekofyear,16.0
Revenue,dayofweek,13.0
Revenue,month,8.0
Revenue,is_month_start,5.0
Revenue,event_back_to_school,5.0
Revenue,is_month_end,1.0
Revenue,event_payday,1.0
Revenue,is_weekend,0.0
Revenue,is_quarter_start,0.0
Revenue,is_quarter_end,0.0
Revenue,event_new_year,0.0
Revenue,event_tet_like,0.0
Revenue,event_valentine,0.0
Revenue,event_womens_day,0.0
Revenue,event_mid_year_sale,0.0
Revenue,event_9_9,0.0
Revenue,event_10_10,0.0
Revenue,event_11_11,0.0
Revenue,event_12_12,0.0
Revenue,event_christmas_year_end,0.0
