target,feature,importance,importance_share
COGS,dayofmonth,1075.0,0.08150731670331336
COGS,COGS_lag_365,689.0,0.052240503449844565
COGS,COGS_lag_1,671.0,0.05087572977481234
COGS,COGS_lag_7,572.0,0.043369474562135114
COGS,COGS_lag_30,512.0,0.03882022897869437
COGS,Revenue_lag_365,463.0,0.03510501175221776
COGS,Revenue_lag_1,425.0,0.03222382288270528
COGS,COGS_lag_14,396.0,0.030025020850708923
COGS,Revenue_lag_7,377.0,0.02858442641595269
COGS,Revenue_lag_14,351.0,0.026613086663128366
COGS,COGS_roll_min_7,351.0,0.026613086663128366
COGS,gross_margin_lag_1,335.0,0.025399954507544165
COGS,dayofyear_sin,328.0,0.024869209189476077
COGS,COGS_roll_std_7,308.0,0.02335279399499583
COGS,cogs_to_revenue_lag_1,304.0,0.02304951095609978
COGS,Revenue_roll_std_7,293.0,0.022215482599135642
COGS,COGS_roll_mean_7,285.0,0.021608916521343544
COGS,COGS_roll_std_30,256.0,0.019410114489347183
COGS,Revenue_roll_min_7,248.0,0.018803548411555085
COGS,dayofweek,230.0,0.01743877473652286
COGS,COGS_roll_mean_365,230.0,0.01743877473652286
COGS,dayofweek_cos,226.0,0.01713549169762681
COGS,dayofyear_cos,226.0,0.01713549169762681
COGS,Revenue_lag_30,224.0,0.016983850178178786
COGS,dayofyear,219.0,0.016604746379558725
COGS,COGS_roll_std_90,219.0,0.016604746379558725
COGS,cogs_expanding_mean,219.0,0.016604746379558725
COGS,dayofweek_sin,211.0,0.015998180301766623
COGS,Revenue_roll_mean_7,198.0,0.015012510425354461
COGS,revenue_expanding_mean,196.0,0.014860868905906438
COGS,Revenue_roll_mean_30,184.0,0.013951019789218288
COGS,Revenue_roll_mean_365,164.0,0.012434604594738038
COGS,Revenue_roll_std_30,158.0,0.011979680036393965
COGS,COGS_roll_mean_30,141.0,0.010690727121085753
COGS,COGS_roll_min_30,138.0,0.010463264841913716
COGS,COGS_roll_std_365,138.0,0.010463264841913716
COGS,Revenue_roll_mean_90,119.0,0.00902267040715748
COGS,Revenue_roll_min_30,117.0,0.008871028887709454
COGS,Revenue_roll_std_90,107.0,0.00811282129046933
COGS,Revenue_roll_max_7,105.0,0.007961179771021306
COGS,Revenue_roll_std_365,98.0,0.007430434452953219
COGS,Revenue_roll_min_365,95.0,0.0072029721737811815
COGS,COGS_roll_mean_90,86.0,0.006520585336265069
COGS,COGS_roll_max_7,85.0,0.006444764576541057
COGS,weekofyear,80.0,0.006065660777920995
COGS,weekofyear_sin,80.0,0.006065660777920995
COGS,Revenue_roll_min_90,74.0,0.00561073621957692
COGS,year,71.0,0.0053832739404048825
COGS,COGS_roll_max_30,68.0,0.005155811661232846
COGS,Revenue_roll_max_30,57.0,0.004321783304268708
COGS,is_quarter_end,54.0,0.004094321025096672
COGS,Revenue_roll_max_365,48.0,0.0036393964667525967
COGS,COGS_roll_max_90,45.0,0.0034119341875805597
COGS,month_cos,41.0,0.0031086511486845096
COGS,COGS_roll_min_90,32.0,0.002426264311168398
COGS,Revenue_roll_max_90,30.0,0.002274622791720373
COGS,month_sin,28.0,0.0021229812722723482
COGS,is_month_end,24.0,0.0018196982333762983
COGS,weekofyear_cos,24.0,0.0018196982333762983
COGS,is_month_start,20.0,0.0015164151944802487
COGS,COGS_roll_max_365,16.0,0.001213132155584199
COGS,COGS_roll_min_365,11.0,0.0008340283569641367
COGS,month,8.0,0.0006065660777920995
COGS,is_weekend,5.0,0.00037910379862006216
COGS,quarter,1.0,7.582075972401244e-05
COGS,is_quarter_start,0.0,0.0
COGS,is_year_start,0.0,0.0
COGS,is_year_end,0.0,0.0
Revenue,dayofmonth,1119.0,0.08473421172194458
Revenue,Revenue_lag_1,737.0,0.05580796607602605
Revenue,COGS_lag_365,705.0,0.05338482507950931
Revenue,Revenue_lag_7,509.0,0.03854308647584431
Revenue,gross_margin_lag_1,495.0,0.03748296228986824
Revenue,COGS_lag_1,467.0,0.0353627139179161
Revenue,Revenue_lag_365,462.0,0.03498409813721036
Revenue,cogs_to_revenue_lag_1,455.0,0.03445403604422232
Revenue,COGS_lag_7,408.0,0.030895047705588367
Revenue,COGS_lag_30,395.0,0.029910646675753445
Revenue,dayofyear_sin,388.0,0.02938058458276541
Revenue,Revenue_lag_14,374.0,0.02832046039678934
Revenue,COGS_roll_std_7,311.0,0.023549901559897016
Revenue,COGS_lag_14,301.0,0.022792669998485535
Revenue,COGS_roll_std_30,301.0,0.022792669998485535
Revenue,Revenue_roll_mean_7,293.0,0.022186884749356352
Revenue,COGS_roll_min_7,268.0,0.020293805845827653
Revenue,COGS_roll_mean_7,251.0,0.01900651219142814
Revenue,dayofweek,250.0,0.018930789035286992
Revenue,Revenue_lag_30,240.0,0.01817355747387551
Revenue,COGS_roll_mean_365,236.0,0.017870664849310918
Revenue,Revenue_roll_min_7,232.0,0.017567772224746328
Revenue,dayofyear_cos,227.0,0.017189156444040586
Revenue,dayofweek_sin,207.0,0.01567469332121763
Revenue,dayofweek_cos,207.0,0.01567469332121763
Revenue,Revenue_roll_std_7,206.0,0.01559897016507648
Revenue,COGS_roll_std_90,202.0,0.015296077540511889
Revenue,cogs_expanding_mean,185.0,0.014008783886112373
Revenue,COGS_roll_std_365,172.0,0.01302438285627745
Revenue,Revenue_roll_mean_30,162.0,0.01226715129486597
Revenue,revenue_expanding_mean,161.0,0.012191428138724822
Revenue,Revenue_roll_mean_365,160.0,0.012115704982583674
Revenue,Revenue_roll_std_30,159.0,0.012039981826442525
Revenue,dayofyear,150.0,0.011358473421172195
Revenue,Revenue_roll_std_90,129.0,0.009768287142208088
Revenue,Revenue_roll_std_365,129.0,0.009768287142208088
Revenue,Revenue_roll_min_30,115.0,0.008708162956232016
Revenue,COGS_roll_mean_30,107.0,0.008102377707102832
Revenue,Revenue_roll_max_7,106.0,0.008026654550961684
Revenue,COGS_roll_mean_90,100.0,0.007572315614114796
Revenue,Revenue_roll_mean_90,96.0,0.007269422989550204
Revenue,Revenue_roll_min_90,88.0,0.0066636377404210205
Revenue,COGS_roll_max_30,88.0,0.0066636377404210205
Revenue,COGS_roll_min_30,84.0,0.006360745115856429
Revenue,COGS_roll_max_7,82.0,0.006209298803574133
Revenue,year,76.0,0.005754959866727245
Revenue,weekofyear,73.0,0.005527790398303802
Revenue,Revenue_roll_min_365,68.0,0.0051491746175980615
Revenue,Revenue_roll_max_30,67.0,0.005073451461456913
Revenue,weekofyear_sin,65.0,0.004922005149174617
Revenue,month_sin,41.0,0.0031046494017870664
Revenue,COGS_roll_min_90,40.0,0.0030289262456459185
Revenue,weekofyear_cos,35.0,0.0026503104649401787
Revenue,is_quarter_end,33.0,0.002498864152657883
Revenue,Revenue_roll_max_90,29.0,0.002195971528093291
Revenue,COGS_roll_max_90,24.0,0.001817355747387551
Revenue,is_month_end,21.0,0.0015901862789641072
Revenue,COGS_roll_min_365,21.0,0.0015901862789641072
Revenue,Revenue_roll_max_365,20.0,0.0015144631228229592
Revenue,COGS_roll_max_365,20.0,0.0015144631228229592
Revenue,month_cos,19.0,0.0014387399666818113
Revenue,is_month_start,14.0,0.0010601241859760715
Revenue,month,12.0,0.0009086778736937755
Revenue,is_weekend,5.0,0.0003786157807057398
Revenue,quarter,4.0,0.00030289262456459186
Revenue,is_quarter_start,0.0,0.0
Revenue,is_year_start,0.0,0.0
Revenue,is_year_end,0.0,0.0
